표번호,구분_대분류,구분_소분류,사례수,1순위_맛집탐방,1순위_전통문화체험(템플스테이등),1순위_자연풍경감상,1순위_레저·스포츠활동,1순위_공연/축제/이벤트참여,1순위_영화/드라마촬영지방문,1순위_역사·문화유적탐방,1순위_박물관/테마공원방문,1순위_산/해변길/둘레길/트레킹,1순위_유흥/오락,1순위_회의/업무/컨벤션/세미나참가,1순위_쇼핑,1순위_치료·미용서비스,1순위_종교/순례활동,1순위_해양활동(해수욕등),1순위_기타,종합_맛집탐방,종합_레저·스포츠활동,종합_자연풍경감상,종합_영화/드라마촬영지방문,종합_역사·문화유적탐방,종합_전통문화체험(템플스테이등),종합_공연/축제/이벤트참여,종합_쇼핑,종합_산/해변길/둘레길/트레킹,종합_박물관/테마공원방문,종합_회의/업무/컨벤션/세미나참가,종합_유흥/오락,종합_종교/순례활동,종합_해양활동(해수욕등),종합_치료·미용서비스,종합_기타
,국적,영국,38,39.5,5.3,10.5,0,5.3,10.5,5.3,2.6,2.6,2.6,7.9,0,5.3,0,2.6,0,63.2,28.9,39.5,23.7,31.6,21.1,15.8,7.9,15.8,13.2,10.5,5.3,2.6,10.5,10.5,0
,국적,호주,41,41.5,7.3,12.2,12.2,4.9,4.9,2.4,4.9,2.4,2.4,0,2.4,0,2.4,0,0,58.5,51.2,34.1,24.4,24.4,9.8,12.2,24.4,14.6,12.2,12.2,4.9,7.3,2.4,4.9,0
,국적,프랑스,34,38.2,5.9,14.7,5.9,14.7,5.9,5.9,2.9,2.9,0,2.9,0,0,0,0,0,61.8,41.2,44.1,14.7,20.6,17.6,17.6,32.4,8.8,2.9,17.6,11.8,5.9,0,2.9,0
,국적,독일,42,42.9,7.1,9.5,11.9,9.5,4.8,2.4,0,2.4,0,4.8,0,0,2.4,2.4,0,64.3,57.1,28.6,26.2,16.7,16.7,31,11.9,11.9,7.1,9.5,4.8,4.8,2.4,0,0
,국적,러시아,28,50,7.1,14.3,0,7.1,3.6,10.7,0,0,3.6,0,0,0,3.6,0,0,67.9,35.7,46.4,21.4,21.4,10.7,25,21.4,10.7,3.6,7.1,10.7,3.6,7.1,7.1,0
,국적,그 외 국가,114,47.4,13.2,7,2.6,7.9,3.5,3.5,1.8,3.5,2.6,2.6,0.9,2.6,0.9,0,0,67.5,32.5,38.6,21.1,21.9,26.3,21.1,18.4,11.4,9.6,6.1,4.4,7,2.6,5.3,0
,방문 횟수,처음 방문,683,48.5,6,7.8,6.6,7.3,5,4.4,2.9,2.6,1.9,1.8,1.5,1.5,1.3,0.9,0.1,66.9,42.6,40.1,21.1,19.9,17,19.5,18.3,10.7,9.5,7.2,7.3,5.4,4.5,4.1,0.1
,방문 횟수,2회,282,40.8,11.3,8.2,7.1,5.7,8.5,4.6,3.9,2.5,1.1,1.8,1.4,1.1,1.4,0.7,0,60.6,37.2,36.5,24.5,23,24.1,19.1,20.6,11.3,11,8.5,4.6,6.7,3.9,3.2,0
,방문 횟수,3~4회,82,40.2,24.4,3.7,8.5,6.1,7.3,1.2,0,2.4,3.7,1.2,1.2,0,0,0,0,64.6,26.8,34.1,34.1,19.5,35.4,15.9,19.5,12.2,2.4,8.5,8.5,1.2,6.1,3.7,0
,방문 횟수,5회 이상,13,38.5,7.7,30.8,0,7.7,0,7.7,0,0,7.7,0,0,0,0,0,0,46.2,0,76.9,0,23.1,7.7,46.2,15.4,15.4,0,7.7,38.5,0,15.4,7.7,0
